Note: The alarm_handler module has a syntax error in the always block.
It should be 'alarm_sound <= 1' instead of 'alarm_sound = 1'
And there should be a semicolon after the assignment.
Time:   0 | Clock:  x: x: x | Display:  x: x: x | Date:  1/ 1/2025 | Timer:  0: 0 (Running: 0, Done: 0) | Alarm: x
Time:   1 | Clock:  x: x: x | Display:  x: x: x | Date:  1/ 1/2025 | Timer:  0: 0 (Running: 0, Done: 0) | Alarm: 0
Time:  31 | Clock: 23:59:50 | Display: 23:59:50 | Date:  1/ 1/2025 | Timer:  0: 0 (Running: 0, Done: 0) | Alarm: 0
Time:  41 | Clock: 23:59:51 | Display: 23:59:51 | Date:  1/ 1/2025 | Timer:  0: 0 (Running: 0, Done: 0) | Alarm: 0
Time:  42 | Clock: 23:59:52 | Display: 23:59:52 | Date:  1/ 1/2025 | Timer:  0: 0 (Running: 0, Done: 0) | Alarm: 0
Time:  43 | Clock: 23:59:53 | Display: 23:59:53 | Date:  1/ 1/2025 | Timer:  0: 0 (Running: 0, Done: 0) | Alarm: 0
Time:  44 | Clock: 23:59:54 | Display: 23:59:54 | Date:  1/ 1/2025 | Timer:  0: 0 (Running: 0, Done: 0) | Alarm: 0
Time:  45 | Clock: 23:59:55 | Display: 23:59:55 | Date:  1/ 1/2025 | Timer:  0: 0 (Running: 0, Done: 0) | Alarm: 0
Time:  46 | Clock: 23:59:56 | Display: 23:59:56 | Date:  1/ 1/2025 | Timer:  0: 0 (Running: 0, Done: 0) | Alarm: 0
Time:  47 | Clock: 23:59:57 | Display: 23:59:57 | Date:  1/ 1/2025 | Timer:  0: 0 (Running: 0, Done: 0) | Alarm: 0
Time:  48 | Clock: 23:59:58 | Display: 23:59:58 | Date:  1/ 1/2025 | Timer:  0: 0 (Running: 0, Done: 0) | Alarm: 0
Time:  49 | Clock: 23:59:59 | Display: 23:59:59 | Date:  1/ 1/2025 | Timer:  0: 0 (Running: 0, Done: 0) | Alarm: 0
Time:  50 | Clock:  0: 0: 0 | Display:  0: 0: 0 | Date:  2/ 1/2025 | Timer:  0: 0 (Running: 0, Done: 0) | Alarm: 0
Time:  51 | Clock:  0: 0: 1 | Display:  0: 0: 1 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 0) | Alarm: 1
Time:  52 | Clock:  0: 0: 2 | Display:  0: 0: 2 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 0) | Alarm: 0
Time:  53 | Clock:  0: 0: 3 | Display:  0: 0: 3 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 0) | Alarm: 0
Time:  54 | Clock:  0: 0: 4 | Display:  0: 0: 4 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 0) | Alarm: 0
Time:  55 | Clock:  0: 0: 5 | Display:  0: 0: 5 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 0) | Alarm: 0
Time:  56 | Clock:  0: 0: 6 | Display:  0: 0: 6 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 0) | Alarm: 0
Time:  57 | Clock:  0: 0: 7 | Display:  0: 0: 7 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 0) | Alarm: 0
Time:  58 | Clock:  0: 0: 8 | Display:  0: 0: 8 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 0) | Alarm: 0
Time:  59 | Clock:  0: 0: 9 | Display:  0: 0: 9 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 0) | Alarm: 0
Time:  60 | Clock:  0: 0:10 | Display:  0: 0:10 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 0) | Alarm: 0
Time:  61 | Clock:  0: 0:11 | Display:  0: 0:11 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 0) | Alarm: 0
Time:  62 | Clock:  0: 0:12 | Display:  0: 0:12 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 0) | Alarm: 0
Time:  63 | Clock:  0: 0:13 | Display:  0: 0:13 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 0) | Alarm: 0
Time:  64 | Clock:  0: 0:14 | Display:  0: 0:14 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 0) | Alarm: 0
Time:  65 | Clock:  0: 0:15 | Display:  0: 0:15 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 0) | Alarm: 0
Time:  66 | Clock:  0: 0:16 | Display:  0: 0:16 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 0) | Alarm: 0
Time:  67 | Clock:  0: 0:17 | Display:  0: 0:17 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 0) | Alarm: 0
Time:  68 | Clock:  0: 0:18 | Display:  0: 0:18 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 0) | Alarm: 0
Time:  69 | Clock:  0: 0:19 | Display:  0: 0:19 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 0) | Alarm: 0
Time:  70 | Clock:  0: 0:20 | Display:  0: 0:20 | Date: 31/12/2025 | Timer:  0: 0 (Running: 0, Done: 0) | Alarm: 0
Time:  71 | Clock:  0: 0:21 | Display:  0: 0:21 | Date: 31/12/2025 | Timer:  0:10 (Running: 0, Done: 0) | Alarm: 0
Time:  72 | Clock:  0: 0:22 | Display:  0: 0:22 | Date: 31/12/2025 | Timer:  0:10 (Running: 0, Done: 0) | Alarm: 0
Time:  73 | Clock:  0: 0:23 | Display:  0: 0:23 | Date: 31/12/2025 | Timer:  0:10 (Running: 0, Done: 0) | Alarm: 0
Time:  74 | Clock:  0: 0:24 | Display:  0: 0:24 | Date: 31/12/2025 | Timer:  0:10 (Running: 0, Done: 0) | Alarm: 0
Time:  75 | Clock:  0: 0:25 | Display:  0: 0:25 | Date: 31/12/2025 | Timer:  0:10 (Running: 0, Done: 0) | Alarm: 0
Time:  76 | Clock:  0: 0:26 | Display:  0: 0:26 | Date: 31/12/2025 | Timer:  0:10 (Running: 0, Done: 0) | Alarm: 0
Time:  77 | Clock:  0: 0:27 | Display:  0: 0:27 | Date: 31/12/2025 | Timer:  0:10 (Running: 0, Done: 0) | Alarm: 0
Time:  78 | Clock:  0: 0:28 | Display:  0: 0:28 | Date: 31/12/2025 | Timer:  0:10 (Running: 0, Done: 0) | Alarm: 0
Time:  79 | Clock:  0: 0:29 | Display:  0: 0:29 | Date: 31/12/2025 | Timer:  0:10 (Running: 0, Done: 0) | Alarm: 0
Time:  80 | Clock:  0: 0:30 | Display:  0: 0:30 | Date: 31/12/2025 | Timer:  0:10 (Running: 0, Done: 0) | Alarm: 0
Time:  81 | Clock:  0: 0:31 | Display:  0: 0:31 | Date: 31/12/2025 | Timer:  0:10 (Running: 0, Done: 0) | Alarm: 0
Time:  82 | Clock:  0: 0:32 | Display:  0: 0:32 | Date: 31/12/2025 | Timer:  0:10 (Running: 0, Done: 0) | Alarm: 0
Time:  83 | Clock:  0: 0:33 | Display:  0: 0:33 | Date: 31/12/2025 | Timer:  0:10 (Running: 0, Done: 0) | Alarm: 0
Time:  84 | Clock:  0: 0:34 | Display:  0: 0:34 | Date: 31/12/2025 | Timer:  0:10 (Running: 0, Done: 0) | Alarm: 0
Time:  85 | Clock:  0: 0:35 | Display:  0: 0:35 | Date: 31/12/2025 | Timer:  0:10 (Running: 0, Done: 0) | Alarm: 0
Time:  86 | Clock:  0: 0:36 | Display:  0: 0:36 | Date: 31/12/2025 | Timer:  0:10 (Running: 0, Done: 0) | Alarm: 0
Time:  87 | Clock:  0: 0:37 | Display:  0: 0:37 | Date: 31/12/2025 | Timer:  0:10 (Running: 0, Done: 0) | Alarm: 0
Time:  88 | Clock:  0: 0:38 | Display:  0: 0:38 | Date: 31/12/2025 | Timer:  0:10 (Running: 0, Done: 0) | Alarm: 0
Time:  89 | Clock:  0: 0:39 | Display:  0: 0:39 | Date: 31/12/2025 | Timer:  0:10 (Running: 0, Done: 0) | Alarm: 0
Time:  90 | Clock:  0: 0:40 | Display:  0: 0:40 | Date: 31/12/2025 | Timer:  0:10 (Running: 0, Done: 0) | Alarm: 0
Time:  91 | Clock:  0: 0:41 | Display:  0: 0:10 | Date: 31/12/2025 | Timer:  0:10 (Running: 1, Done: 0) | Alarm: 0
Time:  92 | Clock:  0: 0:42 | Display:  0: 0:10 | Date: 31/12/2025 | Timer:  0:10 (Running: 1, Done: 0) | Alarm: 0
Time:  93 | Clock:  0: 0:43 | Display:  0: 0:10 | Date: 31/12/2025 | Timer:  0:10 (Running: 1, Done: 0) | Alarm: 0
